id,name,country_code,district,population,population_perc
129,Oranjestad,ABW,,29034,28.188349514563104
130,Sydney,AuS,New South Wales,3276207,17.34727840728582
131,Melbourne,AuS,Victoria,2865329,15.171709202583925
132,Brisbane,AuS,Queensland,1291117,6.836370856719263
133,Perth,AuS,West Australia,1096829,5.80762999046913
134,Adelaide,AuS,South Australia,978100,5.17896854813089
135,Canberra,AuS,Capital Region,322723,1.708794874510219
136,Gold Coast,AuS,Queensland,311932,1.6516573122948215
137,Newcastle,AuS,New South Wales,270324,1.4313459705602034
138,Central Coast,AuS,New South Wales,227657,1.205427300645981
139,Wollongong,AuS,New South Wales,219761,1.163618553425818
140,Hobart,AuS,Tasmania,126118,0.6677856613364397
141,Geelong,AuS,Victoria,125382,0.6638885947262523
142,Townsville,AuS,Queensland,109914,0.581986656782802
143,Cairns,AuS,Queensland,92273,0.4885788414698718
144,Baku,AZE,Baki,1787800,23.11611068011378
145,Ganca,AZE,Ganca,299300,3.86992500646496
146,Sumqayit,AZE,Sumqayit,283000,3.659167313162658
147,Mingacevir,AZE,Mingacevir,93900,1.2141194724592708
148,Nassau,BHS,New Providence,172000,56.02605863192183
149,al-Manama,BHR,al-Manama,148000,23.9870340356564
150,Dhaka,BGD,Dhaka,3612850,2.7972978204482986
151,Chittagong,BGD,Chittagong,1392860,1.0784406333475285
152,Khulna,BGD,Khulna,663340,0.5135999380589215
153,Rajshahi,BGD,Rajshahi,294056,0.2276768224226704
154,Narayanganj,BGD,Dhaka,202134,0.1565049746428709
155,Rangpur,BGD,Rajshahi,191398,0.1481924819015911
156,Mymensingh,BGD,Dhaka,188713,0.1461135844527893
157,Barisal,BGD,Barisal,170232,0.1318044210444814
158,Tungi,BGD,Dhaka,168702,0.1306197979172312
159,Jessore,BGD,Khulna,139710,0.1081723510510626
160,Comilla,BGD,Chittagong,135313,0.1047679145213116
161,Nawabganj,BGD,Rajshahi,130577,0.101101002671209
162,Dinajpur,BGD,Rajshahi,127815,0.0989624869343037
163,Bogra,BGD,Rajshahi,120170,0.093043242615462
164,Sylhet,BGD,Sylhet,117396,0.0908954357167744
165,Brahmanbaria,BGD,Chittagong,109032,0.0844194959544733
166,Tangail,BGD,Dhaka,106004,0.0820750261313925
167,Jamalpur,BGD,Dhaka,103556,0.0801796291277921
168,Pabna,BGD,Rajshahi,103277,0.0799636096163524
169,Naogaon,BGD,Rajshahi,101266,0.0784065657543262
170,Sirajganj,BGD,Rajshahi,99669,0.0771700669737911
171,Narsinghdi,BGD,Dhaka,98342,0.0761426193333591
172,Saidpur,BGD,Rajshahi,96777,0.0749308969842437
173,Gazipur,BGD,Dhaka,96717,0.0748844411753319
174,Bridgetown,BRB,St Michael,6070,2.248148148148148
175,Antwerpen,BEL,Antwerpen,446525,4.361021584139077
176,Gent,BEL,East Flanderi,224180,2.1894716280886803
177,Charleroi,BEL,Hainaut,200827,1.9613927141322396
178,Liege,BEL,Liege,185639,1.813057915812091
179,Bruxelles [Brussel],BEL,Bryssel,133859,1.3073444672331282
180,Brugge,BEL,West Flanderi,116246,1.1353257154018948
181,Schaerbeek,BEL,Bryssel,105692,1.0322492430901455
182,Namur,BEL,Namur,105419,1.0295829670866297
183,Mons,BEL,Hainaut,90935,0.8881238402187713
184,Belize City,BLZ,Belize City,55810,23.15767634854772
185,Belmopan,BLZ,Cayo,7105,2.948132780082988
186,Cotonou,BEN,Atlantique,536827,8.804772839101197
187,Porto-Novo,BEN,Oueme,194000,3.1818927341315404
188,Djougou,BEN,Atacora,134099,2.1994259471871414
189,Parakou,BEN,Borgou,103577,1.6988190913564047
190,Saint George,BMu,Saint Georges,1800,2.769230769230769
191,Hamilton,BMu,Hamilton,1200,1.8461538461538465
192,Thimphu,BTN,Thimphu,22000,1.035781544256121
193,Santa Cruz de la Sierra,BOL,Santa Cruz,935361,11.230171689278423
194,La Paz,BOL,La Paz,758141,9.10242526113579
195,El Alto,BOL,La Paz,534466,6.416928802977548
196,Cochabamba,BOL,Cochabamba,482800,5.796614239404491
197,Oruro,BOL,Oruro,223553,2.6840316964821707
198,Sucre,BOL,Chuquisaca,178426,2.142225957497899
199,PotosI,BOL,PotosI,140642,1.6885820626725896
200,Tarija,BOL,Tarija,125255,1.5038419978388762
201,Sarajevo,BIH,Federaatio,360000,9.06344410876133
202,Banja Luka,BIH,Republika Srpska,143079,3.602190332326284
203,Zenica,BIH,Federaatio,96027,2.4175981873111785
204,Gaborone,BWA,Gaborone,213017,13.132983970406906
205,Francistown,BWA,Francistown,101805,6.276510480887793
206,Sao Paulo,BRA,Sao Paulo,9968485,5.859850689239632
207,Rio de Janeiro,BRA,Rio de Janeiro,5598953,3.29127531375834
208,Salvador,BRA,Bahia,2302832,1.353691326455633
209,Belo Horizonte,BRA,Minas Gerais,2139125,1.257458190047909
210,Fortaleza,BRA,Ceara,2097757,1.2331405225876613
211,BrasIlia,BRA,Distrito Federal,1969868,1.1579625547423802
212,Curitiba,BRA,Parana,1584232,0.9312711988948652
213,Recife,BRA,Pernambuco,1378087,0.8100914087529024
214,Porto Alegre,BRA,Rio Grande do Sul,1314032,0.7724374687711254
215,Manaus,BRA,Amazonas,1255049,0.7377650412955942
216,Belem,BRA,Para,1186926,0.6977197777973724
217,Guarulhos,BRA,Sao Paulo,1095874,0.644195985068924
218,Goiania,BRA,Goias,1056330,0.6209505334626576
219,Campinas,BRA,Sao Paulo,950043,0.5584710343003263
220,Sao Goncalo,BRA,Rio de Janeiro,869254,0.5109802192634395
221,Nova Iguacu,BRA,Rio de Janeiro,862225,0.5068483084971931
222,Sao LuIs,BRA,Maranhao,837588,0.4923657525791376
223,Maceio,BRA,Alagoas,786288,0.4622096816859183
224,Duque de Caxias,BRA,Rio de Janeiro,746758,0.4389724598066014
225,Sao Bernardo do Campo,BRA,Sao Paulo,723132,0.4250842077418217
226,Teresina,BRA,PiauI,691942,0.4067495517738
227,Natal,BRA,Rio Grande do Norte,688955,0.4049936807453781
228,Osasco,BRA,Sao Paulo,659604,0.3877400581959263
229,Campo Grande,BRA,Mato Grosso do Sul,649593,0.3818552155894542
230,Santo Andre,BRA,Sao Paulo,630073,0.3703806248714105
231,Joao Pessoa,BRA,ParaIba,584029,0.3433142286100579
232,Jaboatao dos Guararapes,BRA,Pernambuco,558680,0.3284131322928607
233,Contagem,BRA,Minas Gerais,520801,0.3061464303559357
234,Sao Jose dos Campos,BRA,Sao Paulo,515553,0.3030614584251829
235,uberlandia,BRA,Minas Gerais,487222,0.28640743026776
236,Feira de Santana,BRA,Bahia,479992,0.2821573641360256
237,Ribeirao Preto,BRA,Sao Paulo,473276,0.2782094465508626
238,Sorocaba,BRA,Sao Paulo,466823,0.2744161302648208
239,Niteroi,BRA,Rio de Janeiro,459884,0.2703371248861064
240,Cuiaba,BRA,Mato Grosso,453813,0.2667683625782558
241,Juiz de Fora,BRA,Minas Gerais,450288,0.2646962348999206
242,Aracaju,BRA,Sergipe,445555,0.2619139993533786
243,Sao Joao de Meriti,BRA,Rio de Janeiro,440052,0.2586791288246186
244,Londrina,BRA,Parana,432257,0.2540969344267113
245,Joinville,BRA,Santa Catarina,428011,0.2516009758104812
246,Belford Roxo,BRA,Rio de Janeiro,425194,0.2499450371807307
247,Santos,BRA,Sao Paulo,408748,0.2402774593657231
248,Ananindeua,BRA,Para,400940,0.2356876230785057
249,Campos dos Goytacazes,BRA,Rio de Janeiro,398418,0.2342050965523322
250,Maua,BRA,Sao Paulo,375055,0.2204714457866737
251,CarapicuIba,BRA,Sao Paulo,357552,0.2101825235869852
252,Olinda,BRA,Pernambuco,354732,0.208524821444317
253,Campina Grande,BRA,ParaIba,352497,0.2072110043206066
254,Sao Jose do Rio Preto,BRA,Sao Paulo,351944,0.2068859301061046
255,Caxias do Sul,BRA,Rio Grande do Sul,349581,0.205496869764571
256,Moji das Cruzes,BRA,Sao Paulo,339194,0.1993910002057431
257,Diadema,BRA,Sao Paulo,335078,0.1969714604826147
258,Aparecida de Goiania,BRA,Goias,324662,0.1908485436322488
259,Piracicaba,BRA,Sao Paulo,319104,0.1875813420333304
260,Cariacica,BRA,EspIrito Santo,319033,0.187539605560944
261,Vila Velha,BRA,EspIrito Santo,318758,0.1873779502101519
262,Pelotas,BRA,Rio Grande do Sul,315415,0.1854128089821591
263,Bauru,BRA,Sao Paulo,313670,0.1843870323016783
264,Porto Velho,BRA,Rondonia,309750,0.1820827087558416
265,Serra,BRA,EspIrito Santo,302666,0.1779184669194368
266,Betim,BRA,Minas Gerais,302108,0.1775904535167387
267,JundIaI,BRA,Sao Paulo,296127,0.17407459659642
268,Canoas,BRA,Rio Grande do Sul,294125,0.1728977456426535
269,Franca,BRA,Sao Paulo,290139,0.1705546248126267
270,Sao Vicente,BRA,Sao Paulo,286848,0.1686200511418746
