country_code,language,official,percentage,speakers
IRQ,Persian,F,0.8,18492000.0
ISL,English,F,0.0,0.0
ISL,Icelandic,T,95.7,26700300.0
ISR,Arabic,T,18.0,111906000.0
ISR,Hebrew,T,63.1,392292700.0
ISR,Russian,F,8.9,55331300.0
ITA,Albaniana,F,0.2,11536000.0
ITA,French,F,0.5,28840000.0
ITA,Friuli,F,1.2,69216000.0
ITA,German,F,0.5,28840000.0
ITA,Italian,T,94.1,5427688000.0
ITA,Romani,F,0.2,11536000.0
ITA,Sardinian,F,2.7,155736000.0
ITA,Slovene,F,0.2,11536000.0
JAM,Creole English,F,94.2,243318600.0
JAM,Hindi,F,1.9,4907700.0
JOR,Arabic,T,97.9,497625700.0
JOR,Armenian,F,1.0,5083000.0
JOR,Circassian,F,1.0,5083000.0
JPN,Ainu,F,0.0,0.0
JPN,Chinese,F,0.2,25342800.0
JPN,English,F,0.1,12671400.0
JPN,Japanese,T,99.1,12557357400.0
JPN,Korean,F,0.5,63357000.0
JPN,Philippene Languages,F,0.1,12671400.0
KAZ,German,F,3.1,50291300.0
KAZ,Kazakh,T,46.0,746258000.0
KAZ,Russian,F,34.7,562938100.0
KAZ,Tatar,F,2.0,32446000.0
KAZ,Ukrainian,F,5.0,81115000.0
KAZ,Uzbek,F,2.3,37312900.0
KEN,Gusii,F,6.1,183488000.0
KEN,Kalenjin,F,10.8,324864000.0
KEN,Kamba,F,11.2,336896000.0
KEN,Kikuyu,F,20.9,628672000.0
KEN,Luhya,F,13.8,415104000.0
KEN,Luo,F,12.8,385024000.0
KEN,Masai,F,1.6,48128000.0
KEN,Meru,F,5.5,165440000.0
KEN,Nyika,F,4.8,144384000.0
KEN,Turkana,F,1.4,42112000.0
KGZ,Kazakh,F,0.8,3759200.0
KGZ,Kirgiz,T,59.7,280530300.0
KGZ,Russian,T,16.2,76123800.0
KGZ,Tadzhik,F,0.8,3759200.0
KGZ,Tatar,F,1.3,6108700.0
KGZ,Ukrainian,F,1.7,7988300.0
KGZ,Uzbek,F,14.1,66255900.0
KHM,Chinese,F,3.1,34620800.0
KHM,Khmer,T,88.6,989484800.0
KHM,TSam,F,2.4,26803200.0
KHM,Vietnamese,F,5.5,61424000.0
KIR,Kiribati,T,98.9,8208700.000000001
KIR,Tuvalu,F,0.5,41500.0
KNA,Creole English,F,100.0,3800000.0
KNA,English,T,0.0,0.0
KOR,Chinese,F,0.1,4684400.0
KOR,Korean,T,99.9,4679715600.0
KWT,Arabic,T,78.1,154013200.0
KWT,English,F,0.0,0.0
LAO,Lao,T,67.2,365097600.0
LAO,Lao-Soung,F,5.2,28251600.0
LAO,Mon-khmer,F,16.5,89644500.0
LAO,Thai,F,7.8,42377400.0
LBN,Arabic,T,93.0,305226000.0
LBN,Armenian,F,5.9,19363800.0
LBN,French,F,0.0,0.0
LBR,Bassa,F,13.7,43209800.0
LBR,Gio,F,7.9,24916600.0
LBR,Grebo,F,8.9,28070600.0
LBR,Kpelle,F,19.5,61503000.0
LBR,Kru,F,7.2,22708800.0
LBR,Loma,F,5.8,18293200.0
LBR,Malinke,F,5.1,16085399.999999998
LBR,Mano,F,7.2,22708800.0
LBY,Arabic,T,96.0,538080000.0
LBY,Berberi,F,1.0,5605000.0
LCA,Creole French,F,80.0,12320000.0
LCA,English,T,20.0,3080000.0
LIE,German,T,89.0,2874700.0
LIE,Italian,F,2.5,80750.0
LIE,Turkish,F,2.5,80750.0
LKA,Mixed Languages,F,19.6,369009200.0
LKA,Singali,T,60.3,1135268100.0
LKA,Tamil,T,19.6,369009200.0
LSO,English,T,0.0,0.0
LSO,Sotho,T,85.0,183005000.0
LSO,Zulu,F,15.0,32295000.0
LTU,Belorussian,F,1.4,
LTU,Lithuanian,T,81.6,
LTU,Polish,F,7.0,
LTU,Russian,F,8.1,
LTU,Ukrainian,F,1.1,
LUX,French,T,4.2,
LUX,German,T,2.3,
LUX,Italian,F,4.6,
LUX,Luxembourgish,T,64.4,
LUX,Portuguese,F,13.0,
LVA,Belorussian,F,4.1,9939220.0
LVA,Latvian,T,55.1,133573420.0
LVA,Lithuanian,F,1.2,2909040.0
LVA,Polish,F,2.1,5090820.0
LVA,Russian,F,32.5,78786500.0
LVA,Ukrainian,F,2.9,7030180.0
MAC,Canton Chinese,F,85.6,40488800.0
MAC,English,F,0.5,236500.0
MAC,Mandarin Chinese,F,1.2,567600.0
MAC,Portuguese,T,2.3,1087900.0
MAR,Arabic,T,65.0,1842815000.0
MAR,Berberi,F,33.0,935583000.0
MCO,English,F,6.5,221000.0
MCO,French,T,41.9,1424600.0
MCO,Italian,F,16.1,547400.0
MCO,Monegasque,F,16.1,547400.0
MDA,Bulgariana,F,1.6,7008000.0
MDA,Gagauzi,F,3.2,14016000.0
MDA,Romanian,T,61.9,271122000.0
MDA,Russian,F,23.2,101616000.0
MDA,Ukrainian,F,8.6,37668000.0
MDG,French,T,0.0,0.0
MDG,Malagasy,T,98.9,1576663800.0
MDV,Dhivehi,T,100.0,28600000.0
MDV,English,F,0.0,0.0
MEX,Mixtec,F,0.6,59328600.0
MEX,Nahuatl,F,1.8,177985800.0
MEX,OtomI,F,0.4,39552400.0
MEX,Spanish,T,92.1,9106940100.0
MEX,Yucatec,F,1.1,108769100.0
MEX,Zapotec,F,0.6,59328600.0
MHL,English,T,0.0,0.0
MHL,Marshallese,T,96.8,6195200.0
MKD,Albaniana,F,22.9,46349600.0
MKD,Macedonian,T,66.5,134596000.0
MKD,Romani,F,2.3,4655200.0
MKD,Serbo-Croatian,F,2.0,4048000.0
MKD,Turkish,F,4.0,8096000.0
MLI,Bambara,F,31.8,357241200.0
MLI,Ful,F,13.9,156152600.0
MLI,Senufo and Minianka,F,12.0,134808000.0
MLI,Songhai,F,6.9,77514600.0
MLI,Soninke,F,8.7,97735800.0
MLI,Tamashek,F,7.3,82008200.0
MLT,English,T,2.1,798420.0
MLT,Maltese,T,95.8,36423160.0
MMR,Burmese,T,69.0,3147159000.0
MMR,Chin,F,2.2,100344200.0
MMR,Kachin,F,1.4,63855399.99999999
MMR,Karen,F,6.2,282788200.0
MMR,Kayah,F,0.4,18244400.0
MMR,Mon,F,2.4,109466400.0
MMR,Rakhine,F,4.5,205249500.0
MMR,Shan,F,8.5,387693500.0
MNG,Bajad,F,1.9,5057800.0
MNG,Buryat,F,1.7,4525400.0
MNG,Dariganga,F,1.4,3726800.0
MNG,Dorbet,F,2.7,7187400.000000001
MNG,Kazakh,F,5.9,15705800.000000002
MNG,Mongolian,T,78.8,209765600.0
MNP,Carolinian,F,4.8,374400.0
MNP,Chamorro,F,30.0,2340000.0
MNP,Chinese,F,7.1,553800.0
MNP,English,T,4.8,374400.0
MNP,Korean,F,6.5,507000.0
MNP,Philippene Languages,F,34.1,2659800.0
MOZ,Chuabo,F,5.7,112176000.0
MOZ,Lomwe,F,7.8,153504000.0
MOZ,Makua,F,27.8,547104000.0
MOZ,Marendje,F,3.5,68880000.0
MOZ,Nyanja,F,3.3,64944000.0
MOZ,Ronga,F,3.7,72816000.0
MOZ,Sena,F,9.4,184992000.0
MOZ,Shona,F,6.5,127920000.0
MOZ,Tsonga,F,12.4,244032000.0
MOZ,Tswa,F,6.0,118080000.0
MRT,Ful,F,1.2,3204000.0
MRT,Hassaniya,F,81.7,218139000.0
MRT,Soninke,F,2.7,7209000.000000001
MRT,Tukulor,F,5.4,14418000.000000002
MRT,Wolof,F,6.6,17622000.0
MRT,Zenaga,F,1.2,3204000.0
MSR,English,T,0.0,0.0
MTQ,Creole French,F,96.6,38157000.0
MTQ,French,T,0.0,0.0
MUS,Bhojpuri,F,21.1,
MUS,Creole French,F,70.6,
MUS,French,F,3.4,
MUS,Hindi,F,1.2,
MUS,Marathi,F,0.7,
MUS,Tamil,F,0.8,
MWI,Chichewa,T,58.3,636927500.0
MWI,Lomwe,F,18.4,201020000.0
MWI,Ngoni,F,6.7,73197500.0
MWI,Yao,F,13.2,144210000.0
MYS,Chinese,F,9.0,200196000.0
MYS,Dusun,F,1.1,24468400.000000004
MYS,English,F,1.6,35590400.0
MYS,Iban,F,2.8,62283199.99999999
MYS,Malay,T,58.4,1299049600.0
MYS,Tamil,F,3.9,86751600.0
